Sample,Date,Site,Year,Season,Replicate,Treatment,Site-Temperature,Mean-Temperature,Max-Temperature,Min-Temperature,picea,Visited_picea,scabrinodis,ruginodis,Myrmica,Visited_Myrmica,Lost-Sample,Eaten-Sample
Rad-2017-1-3-Control,29/06/2017,Rad,2017,1,3,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-4-Control,29/06/2017,Rad,2017,1,4,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-5-Control,29/06/2017,Rad,2017,1,5,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-6-Control,29/06/2017,Rad,2017,1,6,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-7-Control,29/06/2017,Rad,2017,1,7,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-8-Control,29/06/2017,Rad,2017,1,8,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-9-Control,29/06/2017,Rad,2017,1,9,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-10-Control,29/06/2017,Rad,2017,1,10,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-11-Control,29/06/2017,Rad,2017,1,11,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-12-Control,29/06/2017,Rad,2017,1,12,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-13-Control,29/06/2017,Rad,2017,1,13,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-14-Control,29/06/2017,Rad,2017,1,14,Control,19,18.2,24.7,10.7,0,0,0,0,0,0,0,0
Rad-2017-1-15-Control,29/06/2017,Rad,2017,1,15,Control,19,18.2,24.7,10.7,1,1,0,0,0,0,0,0
BK-2017-2-1-Protein,01/08/2017,BK,2017,2,1,Protein,32.5,17.6,24.3,11.9,4,1,0,0,0,0,0,0
BK-2017-2-2-Protein,01/08/2017,BK,2017,2,2,Protein,32.5,17.6,24.3,11.9,2,1,0,0,0,0,0,0
BK-2017-2-3-Protein,01/08/2017,BK,2017,2,3,Protein,32.5,17.6,24.3,11.9,3,1,0,0,0,0,0,0
BK-2017-2-4-Protein,01/08/2017,BK,2017,2,4,Protein,32.5,17.6,24.3,11.9,0,0,0,0,0,0,0,0
BK-2017-2-5-Protein,01/08/2017,BK,2017,2,5,Protein,32.5,17.6,24.3,11.9,1,1,0,0,0,0,0,0
BK-2017-2-6-Protein,01/08/2017,BK,2017,2,6,Protein,32.5,17.6,24.3,11.9,30,1,0,0,0,0,0,0
BK-2017-2-7-Protein,01/08/2017,BK,2017,2,7,Protein,32.5,17.6,24.3,11.9,15,1,0,0,0,0,0,0
BK-2017-2-8-Protein,01/08/2017,BK,2017,2,8,Protein,32.5,17.6,24.3,11.9,0,0,0,0,0,0,0,0
BK-2017-2-9-Protein,01/08/2017,BK,2017,2,9,Protein,32.5,17.6,24.3,11.9,7,1,0,0,0,0,0,0
BK-2017-2-10-Protein,01/08/2017,BK,2017,2,10,Protein,32.5,17.6,24.3,11.9,2,1,0,0,0,0,0,0
BK-2017-2-11-Protein,01/08/2017,BK,2017,2,11,Protein,32.5,17.6,24.3,11.9,8,1,0,0,0,0,0,1
BK-2017-2-12-Protein,01/08/2017,BK,2017,2,12,Protein,32.5,17.6,24.3,11.9,8,1,0,0,0,0,0,1
BK-2017-2-13-Protein,01/08/2017,BK,2017,2,13,Protein,32.5,17.6,24.3,11.9,8,1,0,0,0,0,0,1
BK-2017-2-14-Protein,01/08/2017,BK,2017,2,14,Protein,32.5,17.6,24.3,11.9,8,1,0,0,0,0,0,1
BK-2017-2-15-Protein,01/08/2017,BK,2017,2,15,Protein,32.5,17.6,24.3,11.9,8,1,0,0,0,0,0,1
BK-2017-2-1-Carbohydrate,01/08/2017,BK,2017,2,1,Carbohydrate,32.5,17.6,24.3,11.9,19,1,0,0,0,0,0,0
